Group,Estimate,Margin of Error
Total:,"89,323",±37
Male:,"41,883","±2,596"
Under 5 years,"2,184",±973
5 to 9 years,"3,007","±1,303"
10 to 14 years,"2,465","±1,220"
15 to 17 years,"2,056",±688
18 and 19 years,930,±548
20 years,742,±568
21 years,"1,063",±567
22 to 24 years,"2,140",±861
25 to 29 years,"3,166",±902
30 to 34 years,"4,133","±1,263"
35 to 39 years,"2,037","±1,033"
40 to 44 years,"2,709","±1,057"
45 to 49 years,"3,666",±919
50 to 54 years,"2,036",±767
55 to 59 years,"2,151","±1,051"
60 and 61 years,932,±479
62 to 64 years,"1,385",±772
65 and 66 years,971,±701
67 to 69 years,450,±336
70 to 74 years,"1,537","±1,256"
75 to 79 years,956,±492
80 to 84 years,966,±610
85 years and over,201,±238
Female:,"47,440","±2,590"
Under 5 years,"2,442","±1,017"
5 to 9 years,"3,111","±1,321"
10 to 14 years,"3,304","±1,274"
15 to 17 years,"2,194",±748
18 and 19 years,"1,777",±545
20 years,827,±569
21 years,283,±452
22 to 24 years,"3,115","±1,289"
25 to 29 years,"3,367","±1,122"
30 to 34 years,"3,540","±1,063"
35 to 39 years,"2,675","±1,083"
40 to 44 years,"4,215","±1,102"
45 to 49 years,"2,577",±738
50 to 54 years,"2,225",±791
55 to 59 years,"2,306",±719
60 and 61 years,802,±631
62 to 64 years,"2,024",±811
65 and 66 years,628,±602
67 to 69 years,935,±595
70 to 74 years,"2,052",±675
75 to 79 years,"1,248",±701
80 to 84 years,"1,149",±643
85 years and over,644,±517
