groups,values
Total population,88067
Median age (both sexes),31.5
Median age (male),30.3
Median age (female),33.2
Male: Total,43725
Male: Under 5 years,3183
Male: 5 to 9 years,3929
Male: 10 to 14 years,3693
Male: 15 to 17 years,1681
Male: 18 and 19 years,1413
Male: 20 years,790
Male: 21 years,686
Male: 22 to 24 years,2482
Male: 25 to 29 years,3816
Male: 30 to 34 years,3772
Male: 35 to 39 years,2673
Male: 40 to 44 years,2878
Male: 45 to 49 years,2125
Male: 50 to 54 years,2628
Male: 55 to 59 years,2423
Male: 60 and 61 years,1081
Male: 62 to 64 years,1016
Male: 65 and 66 years,635
Male: 67 to 69 years,624
Male: 70 to 74 years,855
Male: 75 to 79 years,632
Male: 80 to 84 years,390
Male: 85 years and over,320
Female: Total,44342
Female: Under 5 years,3704
Female: 5 to 9 years,2716
Female: 10 to 14 years,3123
Female: 15 to 17 years,1867
Female: 18 and 19 years,1392
Female: 20 years,586
Female: 21 years,706
Female: 22 to 24 years,2235
Female: 25 to 29 years,3955
Female: 30 to 34 years,2876
Female: 35 to 39 years,2737
Female: 40 to 44 years,3143
Female: 45 to 49 years,2041
Female: 50 to 54 years,3342
Female: 55 to 59 years,3017
state,25
place,34550
Female: 60 and 61 years,746
Female: 62 to 64 years,1184
Female: 65 and 66 years,904
Female: 67 to 69 years,776
Female: 70 to 74 years,1103
Female: 75 to 79 years,687
Female: 80 to 84 years,576
Female: 85 years and over,926
Total (race universe),88067
White alone,22956
Black or African American alone,4535
American Indian and Alaska Native alone,255
Asian alone,1852
Native Hawaiian and Other Pacific Islander alone,0
Some other race alone,45192
Two or more races,13277
Two races including some other race,10808
"Two races excluding some other race, and three or more races",2469
Total,88067
Not Hispanic or Latino,15888
Not Hispanic or Latino: White alone,11487
Not Hispanic or Latino: Black or African American alone,1761
Not Hispanic or Latino: American Indian and Alaska Native alone,17
Not Hispanic or Latino: Asian alone,1641
Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,0
Not Hispanic or Latino: Some other race alone,430
Not Hispanic or Latino: Two or more races,552
Hispanic or Latino,72179
Hispanic or Latino: White alone,11469
Hispanic or Latino: Black or African American alone,2774
Hispanic or Latino: Asian alone,211
Hispanic or Latino: Some other race alone,44762
Hispanic or Latino: Two or more races,12725
Total,88067
Not Hispanic or Latino,15888
Hispanic or Latino,72179
Mexican,1065
Puerto Rican,15769
Cuban,167
Dominican,46138
Central American,5677
Costa Rican,49
Guatemalan,3711
Honduran,564
Nicaraguan,12
Panamanian,3
Salvadoran,1338
Other Central American,0
South American,1135
Argentinean,32
Bolivian,82
Chilean,8
Colombian,156
Ecuadorian,485
Paraguayan,0
Peruvian,343
Uruguayan,18
Venezuelan,11
Other South American,0
Other Hispanic or Latino,2228
Spaniard,120
Spanish,240
Spanish American,0
All other Hispanic or Latino,1868
Total (citizenship universe),88067
"US citizen, born in the United States",42170
"US citizen, born in Puerto Rico or US island areas",6957
"US citizen, born abroad of US parent(s)",1049
US citizen by naturalization,17224
Not a US citizen,20667
Total (language universe),81180
Speak only English,17902
Speak Spanish,59952
Speak Spanish — speak English less than very well,29694
Speak other Indo-European languages,30258
Speak other Indo-European — speak English less than very well,3326
Speak Asian and Pacific Island languages,1927
Speak Asian/PI — speak English less than very well,1399
Speak other languages,29501
Total households,30330
English only,5595
Spanish: linguistically isolated,23195
Spanish: not linguistically isolated,8310
Spanish: total,14885
Other Indo-European: linguistically isolated,404
Other Indo-European: not linguistically isolated,48
Other Indo-European: total,356
Asian and Pacific Island: linguistically isolated,9
Asian and Pacific Island: not linguistically isolated,0
Asian and Pacific Island: total,9
Other: linguistically isolated,63
Other: not linguistically isolated,7
Other: total,56
Total households,30330
Family households,20841
Family: Married-couple family,9098
"Family: Other — male householder, no wife present",3490
"Family: Other — female householder, no husband present",8253
Nonfamily households,9489
Nonfamily: Householder living alone,7729
Nonfamily: Householder not living alone,1760
Total family households,20841
Married-couple family,9098
Married-couple: with children under 18 years,4239
"Other family: male householder, no wife",1738
Other family: male householder — with children under 18,358
"Other family: female householder, no husband",4620
Other family: female householder — with children under 18,1044
Total civilian noninstitutionalized population,87336
Male,43242
Male: 5 to 17 years — with a disability,75
Male: 18 to 34 years — with a disability,766
Male: 35 to 64 years — with a disability,1425
Male: 65 to 74 years — with a disability,2133
Male: 75 years and over — with a disability,720
Female,720
Female: 5 to 17 years — with a disability,44094
Female: 18 to 34 years — with a disability,3704
Female: 35 to 64 years — with a disability,7282
Female: 65 to 74 years — with a disability,11100
Female: 75 years and over — with a disability,13735
