groups,values
Total population 25 years and over,53881
No schooling completed,2366
Nursery school,22
Kindergarten,43
1st grade,159
2nd grade,462
3rd grade,538
4th grade,493
5th grade,638
6th grade,885
7th grade,683
8th grade,2315
9th grade,1582
10th grade,1359
11th grade,1783
"12th grade, no diploma",1913
Regular high school diploma,16316
GED or alternative credential,1773
"Some college, less than 1 year",3042
"Some college, 1 or more years, no degree",6594
Associate's degree,2848
Bachelor's degree,5757
Master's degree,1683
Professional school degree,448
Doctorate degree,179
Total population 25 years and over,53881
Male,25868
Male: No schooling completed,1185
Male: Nursery to 4th grade,768
Male: 5th and 6th grade,727
Male: 7th and 8th grade,1443
Male: 9th grade,650
Male: 10th grade,728
Male: 11th grade,899
"Male: 12th grade, no diploma",966
Male: High school graduate (includes equivalency),9785
"Male: Some college, less than 1 year",1199
"Male: Some college, 1 or more years, no degree",2956
Male: Associate's degree,926
Male: Bachelor's degree,2292
Male: Master's degree,978
Male: Professional school degree,219
Male: Doctorate degree,147
Female,28013
state,25
place,34550
Female: No schooling completed,1181
Female: Nursery to 4th grade,949
Female: 5th and 6th grade,796
Female: 7th and 8th grade,1555
Female: 9th grade,932
Female: 10th grade,631
Female: 11th grade,884
"Female: 12th grade, no diploma",947
Female: High school graduate (includes equivalency),8304
"Female: Some college, less than 1 year",1843
"Female: Some college, 1 or more years, no degree",3638
Female: Associate's degree,1922
Female: Bachelor's degree,3465
Female: Master's degree,705
Female: Professional school degree,229
Female: Doctorate degree,32
Total population 3 years and over,83989
Enrolled in school,23957
Enrolled: Nursery school or preschool,1740
Enrolled: Kindergarten,1168
Enrolled: Grades 1 to 4,5013
Enrolled: Grades 5 to 8,5507
Enrolled: Grades 9 to 12,5176
Enrolled: College or university (undergraduate),4627
Enrolled: Graduate or professional school,726
Not enrolled in school,60032
Total:,83989
Male:,41965
Male: Enrolled in school:,12134
"Male: Enrolled in nursery school, preschool:",737
Male: Nursery/preschool — public school,611
Male: Nursery/preschool — private school,126
Male: Enrolled in kindergarten:,571
Male: Kindergarten — public school,555
Male: Kindergarten — private school,16
Male: Enrolled in grade 1 to grade 4:,3063
Male: Grade 1 to 4 — public school,2981
Male: Grade 1 to 4 — private school,82
Male: Enrolled in grade 5 to grade 8:,3246
Male: Grade 5 to 8 — public school,3049
Male: Grade 5 to 8 — private school,197
Male: Enrolled in grade 9 to grade 12:,2374
Male: Grade 9 to 12 — public school,2179
Male: Grade 9 to 12 — private school,195
Male: Enrolled in college undergraduate years:,1711
Male: College undergraduate — public school,1262
Male: College undergraduate — private school,449
Male: Enrolled in graduate or professional school:,432
Male: Graduate or professional — public school,202
Male: Graduate or professional — private school,230
Male: Not enrolled in school,29831
Female:,42024
Female: Enrolled in school:,11823
"Female: Enrolled in nursery school, preschool:",1003
Female: Nursery/preschool — public school,813
Female: Nursery/preschool — private school,190
Female: Enrolled in kindergarten:,597
Female: Kindergarten — public school,555
Female: Kindergarten — private school,42
Female: Enrolled in grade 1 to grade 4:,1950
Female: Grade 1 to 4 — public school,1858
Female: Grade 1 to 4 — private school,92
Female: Enrolled in grade 5 to grade 8:,2261
Female: Grade 5 to 8 — public school,2173
Female: Grade 5 to 8 — private school,88
Female: Enrolled in grade 9 to grade 12:,2802
Female: Grade 9 to 12 — public school,2576
Female: Grade 9 to 12 — private school,226
Female: Enrolled in college undergraduate years:,2916
Female: College undergraduate — public school,2205
Female: College undergraduate — private school,711
Female: Enrolled in graduate or professional school:,294
Female: Graduate or professional — public school,214
Female: Graduate or professional — private school,80
Female: Not enrolled in school,30201
Total households,30330
Has a computer,27483
Has a desktop or laptop computer,18631
Has a smartphone,26474
Has a tablet or portable wireless computer,16054
No computer,2847
Total households (internet universe),30330
With an Internet subscription,24500
Broadband of any type,24475
Cellular data plan,23163
"Broadband such as cable, fiber optic or DSL",20410
Internet access without a subscription,692
No Internet access,5138
